Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/profiles/StructureDefinition-us-quality-core-medicationdispensedeclined.json	9613	1	0	29	1	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	263	289	0	0	0	14	0	1
input/profiles/StructureDefinition-us-quality-core-medicationnotrequested.json	12772	1	0	22	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	337	282	0	0	0	11	1	1
input/profiles/StructureDefinition-us-quality-core-medicationrequest.json	18658	1	0	19	0	0	0	0	0	14	0	0	1	0	0	0	0	9	0	0	426	372	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-medicationstatement.json	6350	1	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	192	244	0	0	0	4	0	1
input/profiles/StructureDefinition-us-quality-core-nonpatient-observation.json	15610	1	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	306	239	0	0	0	8	0	0
input/profiles/StructureDefinition-us-quality-core-nutritionorder.json	2408	0	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	213	188	0	0	0	4	0	1
input/profiles/StructureDefinition-us-quality-core-observation-clinical-result.json	10056	1	0	10	0	0	0	0	0	19	0	0	0	0	0	0	0	3	0	0	264	253	0	0	0	11	1	1
input/profiles/StructureDefinition-us-quality-core-observation-lab.json	14007	1	0	10	0	0	0	0	0	13	0	0	1	0	0	0	0	1	0	0	287	684	0	0	0	5	0	1
input/profiles/StructureDefinition-us-quality-core-observation-screening-assessment.json	20503	1	0	10	0	0	0	0	1	13	0	0	0	0	0	0	0	2	0	0	340	833	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-observationcancelled.json	11700	1	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	2	282	225	0	0	0	5	0	0
input/profiles/StructureDefinition-us-quality-core-organization.json	5045	1	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	216	236	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-patient.json	25161	3	0	17	0	0	0	0	0	16	0	0	0	0	0	0	0	4	0	0	365	389	0	0	0	11	1	1
input/profiles/StructureDefinition-us-quality-core-practitioner.json	10168	3	0	13	0	0	0	0	0	10	0	0	1	0	0	0	0	6	0	0	288	353	0	0	0	7	0	2
input/profiles/StructureDefinition-us-quality-core-practitionerrole.json	8364	1	0	7	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	195	213	0	0	0	4	0	0
input/profiles/StructureDefinition-us-quality-core-procedure.json	8881	1	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	203	203	0	1	0	3	0	1
input/profiles/StructureDefinition-us-quality-core-procedurenotdone.json	8962	1	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	209	193	0	0	0	8	1	2
input/profiles/StructureDefinition-us-quality-core-questionnaireresponse.json	5086	1	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	185	202	0	0	0	3	0	1
input/profiles/StructureDefinition-us-quality-core-relatedperson.json	4453	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	111	118	0	0	0	2	0	1
input/profiles/StructureDefinition-us-quality-core-servicenotrequested.json	10108	0	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	218	208	0	0	0	4	0	0
input/profiles/StructureDefinition-us-quality-core-servicerequest.json	9718	1	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	217	216	0	0	0	3	0	1
input/profiles/StructureDefinition-us-quality-core-simple-observation.json	18946	1	0	12	0	0	0	0	0	10	0	0	1	0	0	0	0	1	0	0	323	269	0	0	0	6	0	1
input/profiles/StructureDefinition-us-quality-core-substance.json	2586	1	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	102	132	0	0	0	4	1	0
input/profiles/StructureDefinition-us-quality-core-task.json	4818	1	0	10	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	175	204	0	0	0	5	0	0
input/profiles/StructureDefinition-us-quality-core-taskrejected.json	6449	1	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	206	219	0	0	0	4	0	1
input/resources/CapabilityStatement-us-quality-core-client.json	127201	4	0	0	4	0	0	0	4	53	0	0	0	0	0	0	0	0	0	0	381	102	0	1	0	5	0	1
input/resources/CapabilityStatement-us-quality-core-server.json	128141	5	0	0	0	0	0	0	2	32	0	0	0	0	0	0	0	0	0	0	369	65	0	1	0	6	0	0
input/resources/SearchParameter-us-quality-core-adverseevent-event.json	904	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	1	0	1
input/resources/SearchParameter-us-quality-core-adverseevent-recorded-date.json	2739	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-adverseevent-subject.json	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-allergyintolerance-patient.json	956	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-bodystructure-patient.json	926	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-careplan-category.json	898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-careplan-patient.json	924	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-careteam-patient.json	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-careteam-status.json	886	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-claim-patient.json	878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-claimresponse-patient.json	926	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-claimresponse-type.json	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-communication-patient.json	954	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-communication-topic.json	910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-communicationrequest-category.json	970	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-communicationrequest-patient.json	996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-condition-abatement-date.json	2421	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-condition-category.json	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-condition-code.json	880	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-condition-onset-date.json	2393	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-condition-patient.json	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-coverage-patient.json	900	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-device-patient.json	884	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-device-type.json	862	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-devicerequest-code.json	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-devicerequest-do-not-perform.json	1065	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-devicerequest-patient.json	954	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-deviceusestatement-device-type.json	975	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	6	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-deviceusestatement-patient.json	984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-diagnosticreport-category.json	946	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-diagnosticreport-code.json	922	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-diagnosticreport-date.json	2716	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-diagnosticreport-patient.json	972	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-encounter-date.json	2671	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-encounter-id.json	866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-encounter-patient.json	930	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-encounter-type.json	880	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-familymemberhistory-patient.json	962	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-flag-code.json	850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-flag-patient.json	900	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-goal-patient.json	900	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-immunization-date.json	2347	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-immunization-patient.json	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-immunization-status.json	910	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-immunizationevaluation-patient.json	980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-immunizationevaluation-target-disease.json	1016	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-location-id.json	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medication-code.json	886	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationadministration-code.json	996	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationadministration-effective-time.json	2813	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationadministration-patient.json	1020	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationadministration-status.json	982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationdispense-patient.json	984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationdispense-status.json	946	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationrequest-do-not-perform.json	984	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationrequest-intent.json	940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationrequest-patient.json	978	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-medicationstatement-code.json	966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-medicationstatement-patient.json	990	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-observation-category.json	916	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-observation-code.json	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-observation-date.json	2686	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-observation-patient.json	942	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-observation-status.json	904	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-patient-id.json	856	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-practitioner-id.json	535	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-practitionerrole-id.json	555	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-procedure-date.json	2674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-procedure-patient.json	930	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-procedure-status.json	892	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
